wp-db-backup,WP-DB-Backup,2.2.4
comprehensive-google-map-plugin,Comprehensive Google Map Plugin,9.1.2
admin-menu-editor,Admin Menu Editor,1.4.2
qtranslate,qTranslate,2.5.39
simple-backup,Simple Backup,2.7.10
wordpress-backup-to-dropbox,WordPress Backup to Dropbox,4.1
editorial-calendar,Editorial Calendar,3.4
wp-product-review,WP Product Review,2.4.9
mailchimp,MailChimp List Subscribe Form,1.4.2
ultimate-member,Ultimate Member,1.0.64
antispam-bee,Antispam Bee,2.6.4
business-directory-plugin,Business Directory Plugin,3.5.7
bulk-delete,Bulk Delete,5.4.1
cyclone-slider-2,Cyclone Slider 2,2.9.7
wowslider,WOW Slider,7.8
master-slider,Master Slider - Responsive Touch Slider,2.0.4
easy-wp-smtp,Easy WP SMTP,1.1.4
wp-mail-bank,WP Mail Bank - PHPMailer ,1.10
users-ultra,Users Ultra,1.4.56
easy-social-icons,Easy Social Icons,1.2.3.1
alo-easymail,ALO EasyMail Newsletter,2.5.06
zedity,Zedity,4.14.0
s2member,"s2Member Framework (Member Roles, Capabilities, Membership, PayPal Members)",150203
awesome-weather,Awesome Weather Widget,1.4.3.1
wp-content-copy-protection,WP Content Copy Protection,1.1.4
ultimate-social-media-icons,Ultimate Social Media and Share Icons,1.1.1.8
seo-ultimate,SEO Ultimate,7.6.5.1
foobox-image-lightbox,FooBox Image Lightbox,1.0.4
autoptimize,Autoptimize,1.9.2
easy-media-gallery,Easy Media Gallery - Best Gallery ,1.3.01
wp-live-chat-support,WP Live Chat Support,4.2.9
simple-tags,Simple Tags,2.4
taxonomy-terms-order,Category Order and Taxonomy Terms Order,1.4.1
qtranslate-x,qTranslate X,3.1
wordpress-reset,WordPress Reset,1.3.3
nextcellent-gallery-nextgen-legacy,NextCellent Gallery - NextGEN Legacy,1.9.25.3
loginradius-for-wordpress,"Social Login, Social Sharing and Social Data Integration",6.5
underconstruction,underConstruction,1.12
envira-gallery-lite,Responsive WordPress Gallery - Envira Gallery Lite,1.1.5
wonderm00ns-simple-facebook-open-graph-tags,"Facebook Open Graph, Google",1.5.2
subscribe-to-comments-reloaded,Subscribe To Comments Reloaded,150207
slider-wd,Slider WD,1.0.6
official-statcounter-plugin-for-wordpress,StatCounter - Free Real Time Visitor Stats,1.7.0
woocommerce-csvimport,Woocommerce CSV importer,2.2.2
theme-my-login,Theme My Login,6.3.10
megamenu,Max Mega Menu,1.5.3
nextend-facebook-connect,Nextend Facebook Connect,1.5.4
widget-logic,Widget Logic,0.57
wp-shortcode,WP Shortcode by MyThemeShop,1.3
landing-pages,WordPress Landing Pages,1.8.0
dsidxpress,dsIDXpress IDX Plugin,2.1.19
content-views-query-and-display-post-page,Query posts by category... and display posts on page in grid layout without coding - Content Views,1.5.2
wp-job-manager,WP Job Manager,1.20.1
wiziapp-create-your-own-native-iphone-app,"WiziApp - Adaptive Mobile Themes, Android ",3.2.6
amr-shortcode-any-widget,amr shortcode any widget,2.4
yith-woocommerce-ajax-navigation,YITH WooCommerce Ajax Navigation,1.4.1
rotatingtweets,Rotating Tweets (Twitter widget and shortcode),1.7.9
hyper-cache,Hyper Cache,3.1.9
custom-field-template,Custom Field Template,2.3
ultimate-maintenance-mode,Ultimate Maintenance Mode,1.6.0
store-locator-le,Store Locator Plus,4.2.36
header-footer,Header and Footer,1.6.2
loco-translate,Loco Translate,1.5.1
all-in-one-favicon,All In One Favicon,4.3
media-library-assistant,Media Library Assistant,2.02
wp-migrate-db,WP Migrate DB,0.6.1
store-locator,WordPress Store Locator,3.38.2
synved-shortcodes,WordPress Shortcodes,1.6.33
genesis-simple-edits,Genesis Simple Edits,2.1.1
password-protected,Password Protected,1.9
simple-image-widget,Simple Image Widget,4.2.1
wp-filebase,WP-Filebase Download Manager,3.1.00
wp-insert,Wp-Insert,2.0.15
simple-download-monitor,Simple Download Monitor,3.1.9
resize-image-after-upload,Resize Image After Upload,1.7
simple-map,Simple Map,2.4.0
nav-menu-roles,Nav Menu Roles,1.6.4
wp-security-scan,Acunetix WP Security,4.0.5
responsive-photo-gallery,Responsive Photo Gallery,2.2
contact-form-7-honeypot,Contact Form 7 Honeypot,1.6.2
quick-pagepost-redirect-plugin,Quick Page,5.0.6
recent-facebook-posts,Recent Facebook Posts,2.0.4
slideshow-gallery,Tribulant Slideshow Gallery,1.5.3
wp-tab-widget,WP Tab Widget,1.2
paid-memberships-pro,Paid Memberships Pro,1.7.15.2
wp-postratings,WP-PostRatings,1.80
facebook-button-plugin,Facebook Like Button,2.36
wordpress-23-related-posts-plugin,WordPress Related Posts,3.5.3
coschedule-by-todaymade,CoSchedule by Todaymade,2.3.1
simple-follow-me-social-buttons-widget,Simple Follow Me Social Buttons Widget,3.2
simple-lightbox,Simple Lightbox,2.3.1
bwp-minify,Better WordPress Minify,1.3.3
wordpress-popup,WordPress PopUp,4.7.0.3
social-polls-by-opinionstage,Polls by OpinionStage,10.4.0
easyrecipe,Easy Recipe,3.2.2929
rss-post-importer,RSS Post Importer,2.0.16
blogger-importer,Blogger Importer,0.7
relevanssi,Relevanssi - A Better Search,3.3.8
query-monitor,Query Monitor,2.6.10
syntaxhighlighter,SyntaxHighlighter Evolved,3.1.11
lightbox,Lightbox,1.4.5
really-simple-facebook-twitter-share-buttons,Really Simple Share,4.0
ckeditor-for-wordpress,CKEditor for WordPress,4.4.5
duracelltomi-google-tag-manager,DuracellTomi's Google Tag Manager for WordPress,0.9.1
wp-google-fonts,WP Google Fonts,3.1.1
spider-event-calendar,WordPress Event Calendar,1.4.11
popupally,PopupAlly,1.4.2
xhanch-my-twitter,Xhanch - My Twitter,2.7.8
slideshow-jquery-image-gallery,Slideshow,2.2.21
powerpress,Blubrry PowerPress Podcasting plugin,6.0.1
easy-theme-and-plugin-upgrades,Easy Theme and Plugin Upgrades,1.0.4
calculated-fields-form,Calculated Fields Form,1.0.12
wordpress-mobile-pack,WordPress Mobile Pack,2.1.1
sitemap,Sitemap,4.3
atcontent,AtContent ,7.12.9.2
woocommerce-customizer,WooCommerce Customizer,2.1.0
email-encoder-bundle,Email Encoder Bundle - Protect Email Address,1.3.0
google-language-translator,Google Language Translator,4.0.9
google-calendar-events,Google Calendar Events,2.1.7
pretty-link,Pretty Link Lite,1.6.5
easy-coming-soon,Easy Coming Soon,1.6.2
wp-all-import,Import any XML or CSV File to WordPress,3.2.3
easy-facebook-likebox,Easy Facebook Like Box,3.1
recent-posts-widget-extended,Recent Posts Widget Extended,0.9.9
easy-table,Easy Table,1.5.2
yop-poll,YOP Poll,5.6
woocommerce-multilingual,WooCommerce Multilingual - run WooCommerce with WPML,3.5.1
seo-automatic-links,SEO Smart Links,3.0.1
wordpress-social-login,WordPress Social Login,2.2.3
wp-social-bookmarking-light,WP Social Bookmarking Light,1.7.9
popup-maker,Popup Maker,1.1.10
column-shortcodes,Column Shortcodes,0.6.6
affinitomics,Affinitomics,0.9.0
feed-them-social,"Feed Them Social (Facebook, Instagram, Twitter, etc)",1.7.0
icegram,Icegram,1.8.6
addquicktag,AddQuicktag,2.4.1
nospamnx,NoSpamNX,5.1.17
easy-bootstrap-shortcodes,Easy Bootstrap Shortcode,4.3.7
facebook-auto-publish,Facebook Auto Publish,1.2
wp-clean-up-optimizer,WP Clean Up Optimizer - Optimize WordPress,2.0.24
fv-wordpress-flowplayer,FV WordPress Flowplayer,2.3.12
woocommerce-delivery-notes,WooCommerce Print Invoice ,4.1.4
display-widgets,Display Widgets,2.03
woocommerce-xml-csv-product-import,Import Products from any XML or CSV to WooCommerce,1.2.1
login-customizer,Custom Login Page Customizer,1.0.1
email-subscribers,Email Subscribers,2.6
yet-another-stars-rating,Yasr - Yet Another Stars Rating,0.7.9
custom-login-page,A5 Custom Login Page,2.5.3
twitter-facebook-google-plusone-share,"Add Twitter, Facebook Like, Google plus one Social share",2.4.3
codepress-admin-columns,Admin Columns,2.3.3
wordpress-https,WordPress HTTPS (SSL),3.3.6
really-simple-twitter-feed-widget,Really Simple Twitter Feed Widget,3.0
bwp-google-xml-sitemaps,"Better WordPress Google XML Sitemaps (with sitemapindex, multi-site and Google News sitemap support)",1.3.1
beaver-builder-lite-version,Beaver Builder - WordPress Page Builder,1.4.6
m-wp-popup,WP Popup Plugin,0.5.17
search-everything,Search Everything,8.1.3
transposh-translation-filter-for-wordpress,Transposh WordPress Translation,0.9.6
meteor-slides,Meteor Slides,1.5.3
pricing-table,Pricing Table,1.3.9
cta,WordPress Calls to Action,2.3.0
safe-redirect-manager,Safe Redirect Manager,1.7.6
easy-adsense-lite,Easy Plugin for AdSense,7.60
bruteprotect,BruteProtect,2.4
e-mailit,Share Buttons by E-MAILiT,7.4.3
wp-recaptcha,WP-reCAPTCHA,4.1
better-font-awesome,Better Font Awesome,1.0.9
simple-301-redirects,Simple 301 Redirects,1.06
woocommerce-checkout-manager,WooCommerce Checkout Manager,3.6.6
smart-youtube,Smart YouTube PRO,4.3
visual-form-builder,Visual Form Builder,2.8.1
responsive-add-ons,Responsive Add Ons,1.0.6
advanced-access-manager,Advanced Access Manager,2.8.5
revision-control,Revision Control,2.3.1
widget-settings-importexport,Widget Settings Importer,1.5.0
font,Font - official webfonts plugin. NO CODING! Just click ,7.5
quick-adsense,Quick Adsense,1.9.2
social-media-widget,Social Media Widget,4.0.2
woocommerce-poor-guys-swiss-knife,WooCommerce Poor Guys Swiss Knife,2.2.4
fancy-gallery,Fancy Gallery,1.5.17
jquery-updater,jQuery Updater,2.1.3
login-lockdown,Login LockDown,1.6.1
oauth-twitter-feed-for-developers,oAuth Twitter Feed for Developers,2.2.1
advanced-iframe,Advanced iFrame,6.3.1
tac,Theme Authenticity Checker (TAC),1.5.2
seriously-simple-podcasting,Seriously Simple Podcasting,1.8.10
coming-soon-page,Coming soon and Maintenance mode,1.0.2
simple-page-sidebars,Simple Page Sidebars,1.1.8
easy-pricing-tables,Easy Pricing Tables Lite by Fatcat Apps,2.0
all-404-redirect-to-homepage,All 404 Redirect to Homepage,1.3
rename-wp-login,Rename wp-login.php (unmaintained),2.5.1
cms-commander-client,CMS Commander Client,2.13
wp-paginate,WP-Paginate,1.3.1
xcloner-backup-and-restore,XCloner - Backup and Restore,3.1.2
cookie-law-info,Cookie Law Info,1.2.1
simple-membership,Simple Membership,2.1
simple-subscribe,Simple Subscribe,1.8.1
instagram-slider-widget,Instagram Slider Widget,1.2.1
insert-headers-and-footers,Insert Headers and Footers,1.3.2
exploit-scanner,Exploit Scanner,1.4
pixcodes,PixCodes,2.3.0
nimble-portfolio,WordPress Picture ,2.1.3
sendpress,SendPress Newsletters,1.1.2.22
custom-permalinks,Custom Permalinks,0.7.20
wordpress-mu-domain-mapping,WordPress MU Domain Mapping,0.5.5.1
real-estate-listing-realtyna-wpl,WPL Real Estate,2.2.0
antivirus,AntiVirus,1.3.8
speed-booster-pack,Speed Booster Pack,2.7
jigoshop,Jigoshop,1.15.5
oa-social-login,Social Login,4.6
woocommerce-pdf-invoices-packing-slips,WooCommerce PDF Invoices ,1.5.4
faster-pagination,Faster Pagination,1.0
formidable,Formidable Forms,1.07.11
digg-digg,Digg Digg,5.3.6
wp-twitter-feeds,WP Twitter Feeds,1.4.7
woocommerce-product-archive-customiser,WooCommerce Product Archive Customiser,0.5.0
taxonomy-metadata,Taxonomy Metadata,0.4
popups,Popups - WordPress Popup,1.2.3.3
flickr-justified-gallery,Flickr Justified Gallery,3.3.5
player,WordPress Video Player,1.5.6
plugnedit,Plug-N-Edit Drag ,5.0.7
debug-bar,Debug Bar,0.8.2
import-html-pages,HTML Import 2,2.5.1
page-list,Page-list,5.0
download-monitor,Download Monitor,1.6.3
fg-joomla-to-wordpress,FG Joomla to WordPress,1.44.1
image-watermark,Image Watermark,1.4.1
gigpress,GigPress,2.3.8
gallery-video,Video Gallery,1.1.5
mappress-google-maps-for-wordpress,MapPress Easy Google Maps,2.42.1
members,Members,0.2.4
user-switching,User Switching,1.0.3
crayon-syntax-highlighter,Crayon Syntax Highlighter,2.6.9
one-click-close-comments,One Click Close Comments,2.3.2
vkontakte-api,VKontakte API,3.19
custom-share-buttons-with-floating-sidebar,Custom Share Buttons with Floating Sidebar,1.8
simply-exclude,Simply Exclude,2.0.6.3
