contact-form-7,Contact Form 7,4.9.1
tracking-code-manager,Tracking Code Manager,1.11.6
wordpress-database-reset,WordPress Database Reset,3.0.2
constant-contact-forms,Constant Contact Forms,1.3.5
really-simple-csv-importer,Really Simple CSV Importer,1.3
accesspress-social-share,Social Share WordPress Plugin – AccessPress Social Share,4.3.5
asesor-cookies-para-la-ley-en-espana,Asesor de Cookies para normativa española,0.26
wp-shortcode,WP Shortcode by MyThemeShop,1.4.6
sitemap,Sitemap,4.3
post-type-switcher,Post Type Switcher,3.0.0
advanced-access-manager,Advanced Access Manager,4.9.5.2
heartbeat-control,Heartbeat Control,1.2.2
wp-video-lightbox,WP Video Lightbox,1.8.4
seo-automatic-links,SEO Smart Links,3.0.1
nextend-google-connect,Nextend Google Connect,1.6.1
jquery-collapse-o-matic,Collapse-O-Matic,1.7.6
wp-piwik,WP-Piwik,1.0.19
wordpress-backup-to-dropbox,WordPress Backup to Dropbox,4.7.1
quick-adsense-reloaded,AdSense Plugin WP QUADS,1.6.1
ultimate-member,Ultimate Member – User Profile & Membership Plugin,1.3.88
accesspress-social-icons,Social Icons WordPress Plugin – AccessPress Social Icons,1.6.9
genesis-responsive-slider,Genesis Responsive Slider,0.9.5
smk-sidebar-generator,SMK Sidebar Generator,3.1
subscribe2,Subscribe2,10.22.1
dynamic-featured-image,Dynamic Featured Image,3.6.1
contact-form-maker,Contact Form by WD – responsive drag & drop contact form builder tool,1.11.14
easing-slider,Easing Slider,3.0.8
simple-local-avatars,Simple Local Avatars,2.0
wp-members,WP-Members Membership Plugin,3.1.9.3
wordpress-popup,"Hustle – Pop-Ups, Slide-ins and Email Opt-ins",5.1.5.1
ga-google-analytics,GA Google Analytics,20171021
sendgrid-email-delivery-simplified,SendGrid,1.11.7
wp-simple-firewall,Shield Security for WordPress,5.16.4
woocommerce-multilingual,WooCommerce Multilingual – run WooCommerce with WPML,4.2.5
post-expirator,Post Expirator,2.3.1.1
ckeditor-for-wordpress,CKEditor for WordPress,4.5.3.3
ps-disable-auto-formatting,PS Disable Auto Formatting,1.0.10
movabletype-importer,Movable Type and TypePad Importer,0.4
yikes-inc-easy-mailchimp-extender,Easy Forms for MailChimp,6.3.28
xcloner-backup-and-restore,XCloner – Backup and Restore,4.0.5
ultimate-google-analytics,Ultimate Google Analytics,1.6.0
post-plugin-library,Post-Plugin Library,2.6.2.1
wpcat2tag-importer,Categories to Tags Converter,0.5
responsive-add-ons,Responsive Add Ons,1.0.7
wp-responsive-menu,WP Responsive Menu,3.0.2
themegrill-demo-importer,ThemeGrill Demo Importer,1.4.0
testimonials-by-woothemes,Testimonials by WooThemes,1.5.4
wonderm00ns-simple-facebook-open-graph-tags,"Facebook Open Graph, Google+ and Twitter Card Tags",2.1.3
wp-content-copy-protector,WP Content Copy Protection & No Right Click,1.6
aryo-activity-log,Activity Log,2.3.6
comprehensive-google-map-plugin,Comprehensive Google Map Plugin,9.1.2
widgets-on-pages,Widgets on Pages,1.3.0
all-in-one-schemaorg-rich-snippets,All In One Schema Rich Snippets,1.5.1
page-scroll-to-id,Page scroll to id,1.6.2
facebook-conversion-pixel,"Facebook Pixel – Pixel Cat (Formerly ""Facebook Conversion Pixel"")",2.2.2
pixelyoursite,"Facebook Pixel by PixelYourSite – Events, WooCommerce & Easy Digital Downloads",5.0.8
wp-smtp,WP SMTP,1.1.9
lockdown-wp-admin,Lockdown WP Admin,2.3.2
wp-paginate,WP-Paginate,2.0.3
contextual-related-posts,Contextual Related Posts,2.4.1
wordpress-social-login,WordPress Social Login,2.3.3
better-delete-revision,Better Delete Revision,1.6.1
login-with-ajax,Login With Ajax,3.1.7
comet-cache,Comet Cache,170220
wp-to-twitter,WP to Twitter,3.2.19
wp-robots-txt,WP Robots Txt,1.1
widget-shortcode,Widget Shortcode,0.3.0
wp-crontrol,WP Crontrol,1.5
html-on-pages,.html on PAGES,1.1
meteor-slides,Meteor Slides,1.5.6
xml-sitemaps-for-videos,Google XML Sitemap for Videos,2.6.1
ultimate-social-media-plus,Social Share Icons & Social Share Buttons,2.7.3
mw-wp-form,MW WP Form,3.2.1
cyclone-slider-2,Cyclone Slider,3.2.0
facebook-by-weblizar,Facebook,2.4.9
gallery-by-supsystic,Photo Gallery by Supsystic,1.10.10
widget-settings-importexport,Widget Settings Importer/Exporter,1.5.3
fb-instant-articles,Instant Articles for WP,4.0.5
wp-database-backup,WP Database Backup,4.5.2
enhanced-text-widget,Enhanced Text Widget,1.4.6
gallery-plugin,Gallery by BestWebSoft,4.5.2
menu-image,Menu Image,2.7.0
advanced-responsive-video-embedder,"ARVE Advanced Responsive Video Embedder (YouTube, Vimeo, HTML5 Video …)",8.7.2
404-to-start,404 to Start,1.6
printfriendly,"Print, PDF, Email by PrintFriendly",3.12.5
contact-form-builder,Contact Form Builder – a plugin for creating contact forms and feedback forms,1.0.62
timthumb-vulnerability-scanner,Timthumb Vulnerability Scanner,1.54
contact-form-7-mailchimp-extension,Contact Form 7 MailChimp Extension,0.4.45
simple-sitemap,Simple Sitemap – Automatically Generate a Responsive Sitemap,2.4
wp-gallery-custom-links,WP Gallery Custom Links,1.12
lightbox-gallery,Lightbox Gallery,0.8.3
twitter,Twitter,2.0.1
mailchimp-forms-by-mailmunch,MailChimp Forms by MailMunch,3.0.6
widget-context,Widget Context,1.0.5
subscribe-to-comments,Subscribe to Comments,2.3
portfolio-gallery,Portfolio Gallery – Photo Gallery,2.4.1
login-logo,Login Logo,0.7
intergeo-maps,Google Maps Plugin by Intergeo,2.2.0
disable-emojis,Disable Emojis,1.7
easy-digital-downloads,Easy Digital Downloads,2.8.10
wp-product-review,WP Product Review Lite,3.1.0
secure-wordpress,Acunetix Secure WordPress,3.0.4
customizer-export-import,Customizer Export/Import,0.7
paid-memberships-pro,Paid Memberships Pro,1.9.4.1
jquery-colorbox,jQuery Colorbox,4.6.2
yith-woocommerce-quick-view,YITH WooCommerce Quick View,1.2.2
cleantalk-spam-protect,"Spam protection FireWall, AntiSpam by CleanTalk",5.80
404-redirection,404 Redirection,1.8
simple-history,Simple History,2.18
bj-lazy-load,BJ Lazy Load,1.0.9
popup-builder,Popup Builder – Responsive WordPress Pop up,2.6.4.6
https-redirection,Easy HTTPS Redirection,1.7
wp-customer-reviews,WP Customer Reviews,3.1.4
cloudflare-flexible-ssl,CloudFlare Flexible SSL,1.2.2
smart-youtube,Smart YouTube PRO,4.3
multiple-post-thumbnails,Multiple Post Thumbnails,1.6.6
wp-security-audit-log,WP Security Audit Log,2.6.9.1
lightbox,Lightbox,2.1.0
code-snippets,Code Snippets,2.9.4
varnish-http-purge,Varnish HTTP Purge,4.3.1
file-manager,File Manager,5.0.1
eps-301-redirects,Eggplant 301 Redirects,2.3.0
wpfront-user-role-editor,WPFront User Role Editor,2.13.1
capability-manager-enhanced,Capability Manager Enhanced,1.5.7
powerpress,PowerPress Podcasting plugin by Blubrry,7.1.1
font-awesome-4-menus,Font Awesome 4 Menus,4.7.0
bulk-delete,Bulk Delete,5.5.6
glue-for-yoast-seo-amp,Glue for Yoast SEO & AMP,0.4.2
wpremote,The WP Remote WordPress Plugin,2.8.2
crayon-syntax-highlighter,Crayon Syntax Highlighter,2.8.4
adrotate,AdRotate Banner Manager,4.6.3
get-the-image,Get the Image,1.1.0
testimonials-widget,Testimonials Widget,3.4.2
post-views-counter,Post Views Counter,1.2.8
feed-them-social,"Feed Them Social – Facebook, Instagram, Twitter, Vine, Pinterest, etc",2.3.1
configure-smtp,Configure SMTP,3.1
